"","task","trialsLeft","practice","trialNum","word1","patch","colorRT","colorResponse","isicolorRT","congruent","colorAccurate","word2","sameResponse","sameRT","isisameRT","same","sameAccurate","word","ink","subid"
"4635","classic",34,FALSE,14,NA,NA,0,"green",14,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","green",33
"4636","classic",33,FALSE,15,NA,NA,0,"blue",10,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4637","classic",32,FALSE,16,NA,NA,0,"green",20,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"green","green",33
"4638","classic",31,FALSE,17,NA,NA,0,"red",90,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","yellow",33
"4639","classic",30,FALSE,18,NA,NA,0,"red",307,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","green",33
"4640","classic",29,FALSE,19,NA,NA,486,"red",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"red","red",33
"4641","classic",28,FALSE,20,NA,NA,0,"green",1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"green","green",33
"4642","classic",27,FALSE,21,NA,NA,0,"blue",76,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4643","classic",26,FALSE,22,NA,NA,485,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","green",33
"4644","classic",25,FALSE,23,NA,NA,0,"green",187,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","blue",33
"4645","classic",24,FALSE,24,NA,NA,0,"blue",219,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"red","yellow",33
"4646","classic",23,FALSE,25,NA,NA,438,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","yellow",33
"4647","classic",22,FALSE,26,NA,NA,326,"yellow",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"green","yellow",33
"4648","classic",21,FALSE,27,NA,NA,0,"red",120,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"red","red",33
"4649","classic",20,FALSE,28,NA,NA,355,"red",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"green","red",33
"4650","classic",19,FALSE,29,NA,NA,300,"red",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"blue","red",33
"4651","classic",18,FALSE,30,NA,NA,372,"red",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"yellow","red",33
"4652","classic",17,FALSE,31,NA,NA,496,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","green",33
"4653","classic",16,FALSE,32,NA,NA,280,"green",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"green","green",33
"4654","classic",15,FALSE,33,NA,NA,327,"green",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"green","green",33
"4655","classic",14,FALSE,34,NA,NA,0,"red",151,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"red","red",33
"4656","classic",13,FALSE,35,NA,NA,456,"red",0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,"red","red",33
"4657","classic",12,FALSE,36,NA,NA,0,"green",61,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4658","classic",11,FALSE,37,NA,NA,329,"blue",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"red","blue",33
"4659","classic",10,FALSE,38,NA,NA,0,"red",30,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"red","red",33
"4660","classic",9,FALSE,39,NA,NA,342,"blue",0,FALSE,TRUE,NA,NA,NA,NA,NA,NA,"red","blue",33
"4661","classic",8,FALSE,40,NA,NA,0,"yellow",45,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4662","classic",7,FALSE,41,NA,NA,0,"blue",36,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4663","classic",6,FALSE,42,NA,NA,0,"green",25,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","green",33
"4664","classic",5,FALSE,43,NA,NA,362,"blue",0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"blue","yellow",33
"4665","classic",4,FALSE,44,NA,NA,0,"blue",423,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","blue",33
"4666","classic",3,FALSE,45,NA,NA,0,"red",234,FALSE,FALSE,NA,NA,NA,NA,NA,NA,"green","red",33
"4667","classic",2,FALSE,46,NA,NA,0,"red",30,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"blue","blue",33
"4668","classic",1,FALSE,47,NA,NA,0,"green",27,TRUE,FALSE,NA,NA,NA,NA,NA,NA,"yellow","yellow",33
"4669","wm",12,TRUE,0,"red","blue",0,"NA",0,FALSE,FALSE,"blue","diff",2858,0,FALSE,TRUE,NA,NA,33
